ClusterID,PMID
1,30388456
1,30388455
1,30343900
2,30340040
1,30290139
1,30245014
3,30220459
4,30193111
1,30193108
5,30146162
6,30100187
1,30096312
6,30033370
6,30033362
6,30033361
1,30017245
7,29961579
8,29958104
6,29909987
6,29909985
5,29856956
5,29856949
7,29754820
1,29754815
6,29731168
9,29727668
6,29681457
4,29681456
9,29681454
6,29677504
6,29656895
6,29656894
1,29656892
6,29656891
6,29625059
1,29625057
6,29625055
6,29625054
6,29625053
5,29625052
6,29625050
6,29625049
6,29625048
6,29625045
6,29576454
10,29522737
10,29429633
7,29395328
2,29373830
2,29336889
1,29336888
10,29275861
7,29224780
8,31171880
1,31171879
1,31171878
1,31171876
1,31086347
1,31011208
5,31011207
1,31011206
9,31011205
7,31011202
10,30962585
8,30936548
8,30936547
5,30911134
1,30842679
1,30842677
5,30842676
6,30842674
1,30833751
1,30833750
2,30833748
1,30833747
1,30742122
1,30742120
1,30742119
7,30643287
1,30523328
3,30531922
1,30510256
5,30510255
1,30510250
1,30478424
6,30478421
1,30455436
5,30420752
1,30401867
1,30397353
1,30374200
1,30349086
1,30297911
1,30297909
5,30275569
5,30275568
6,30224758
1,30224756
1,30150718
1,30127394
1,30127393
11,30082870
7,30038216
5,30013198
1,30013197
5,29988143
3,29967352
1,29967349
11,29942094
7,29942092
5,29892070
6,29892069
1,29892065
5,29892061
1,29867230
1,29867227
2,29808010
2,29808006
5,29785028
5,29713085
11,29686424
3,29662203
4,29578538
7,29529015
5,29505032
1,29431745
5,29431743
5,29400710
6,29334376
1,29334371
1,29309059
6,29309058
5,29227476
8,30498128
6,30385465
6,30361341
5,30337457
6,30287662
6,30262472
6,30190408
5,30166458
4,30093597
6,30026228
2,29798856
2,29773669
6,29622725
7,29567714
7,29567713
1,29567708
5,29567707
1,29567705
1,29420293
1,29302014
1,29301960
1,29301958
1,29217585
1,29097494
1,29097493
