pmid,journal,year
30388456,Cell,2018
30388455,Cell,2018
30343900,Cell,2018
30340040,Cell,2018
30290139,Cell,2018
30245014,Cell,2018
30220459,Cell,2018
30193111,Cell,2018
30193108,Cell,2018
30146162,Cell,2018
30100187,Cell,2018
30096312,Cell,2018
30033370,Cell,2018
30033362,Cell,2018
30033361,Cell,2018
30017245,Cell,2018
29961579,Cell,2018
29958104,Cell,2018
29909987,Cell,2018
29909985,Cell,2018
29856956,Cell,2018
29856949,Cell,2018
29754820,Cell,2018
29754815,Cell,2018
29731168,Cell,2018
29727668,Cell,2018
29681457,Cell,2018
29681456,Cell,2018
29681454,Cell,2018
29677504,Cell,2018
29656895,Cell,2018
29656894,Cell,2018
29656892,Cell,2018
29656891,Cell,2018
29625059,Cell,2018
29625057,Cell,2018
29625055,Cell,2018
29625054,Cell,2018
29625053,Cell,2018
29625052,Cell,2018
29625050,Cell,2018
29625049,Cell,2018
29625048,Cell,2018
29625045,Cell,2018
29576454,Cell,2018
29522737,Cell,2018
29429633,Cell,2018
29395328,Cell,2018
29373830,Cell,2018
29336889,Cell,2018
29336888,Cell,2018
29275861,Cell,2018
29224780,Cell,2018
31171880,Nature medicine,2019
31171879,Nature medicine,2019
31171878,Nature medicine,2019
31171876,Nature medicine,2019
31086347,Nature medicine,2019
31011208,Nature medicine,2019
31011207,Nature medicine,2019
31011206,Nature medicine,2019
31011205,Nature medicine,2019
31011202,Nature medicine,2019
30962585,Nature medicine,2019
30936548,Nature medicine,2019
30936547,Nature medicine,2019
30911134,Nature medicine,2019
30842679,Nature medicine,2019
30842677,Nature medicine,2019
30842676,Nature medicine,2019
30842674,Nature medicine,2019
30833751,Nature medicine,2019
30833750,Nature medicine,2019
30833748,Nature medicine,2019
30833747,Nature medicine,2019
30742122,Nature medicine,2019
30742120,Nature medicine,2019
30742119,Nature medicine,2019
30643287,Nature medicine,2019
30523328,Nature medicine,2018
30523327,Nature medicine,2018
30531922,Nature medicine,2019
30510256,Nature medicine,2019
30510255,Nature medicine,2019
30510251,Nature medicine,2019
30510250,Nature medicine,2019
30478424,Nature medicine,2019
30478421,Nature medicine,2018
30455436,Nature medicine,2019
30420752,Nature medicine,2018
30401867,Nature medicine,2018
30397353,Nature medicine,2018
30374200,Nature medicine,2018
30349086,Nature medicine,2018
30297911,Nature medicine,2018
30297909,Nature medicine,2018
30275569,Nature medicine,2018
30275568,Nature medicine,2018
30224758,Nature medicine,2018
30224756,Nature medicine,2018
30150718,Nature medicine,2018
30127394,Nature medicine,2018
30127393,Nature medicine,2018
30104766,Nature medicine,2018
30082870,Nature medicine,2018
30038216,Nature medicine,2018
30013198,Nature medicine,2018
30013197,Nature medicine,2018
29988143,Nature medicine,2018
29967352,Nature medicine,2018
29967349,Nature medicine,2018
29942094,Nature medicine,2018
29942092,Nature medicine,2018
29892070,Nature medicine,2018
29892069,Nature medicine,2018
29892065,Nature medicine,2018
29892061,Nature medicine,2018
29867230,Nature medicine,2018
29867227,Nature medicine,2018
29808010,Nature medicine,2018
29808006,Nature medicine,2018
29785028,Nature medicine,2018
29713085,Nature medicine,2018
29686424,Nature medicine,2018
29662203,Nature medicine,2018
29578538,Nature medicine,2018
29529015,Nature medicine,2018
29505032,Nature medicine,2018
29431745,Nature medicine,2018
29431743,Nature medicine,2018
29400710,Nature medicine,2018
29334376,Nature medicine,2018
29334371,Nature medicine,2018
29309059,Nature medicine,2018
29309058,Nature medicine,2018
29227476,Nature medicine,2018
30498128,"Science (New York, N.Y.)",2018
30385465,"Science (New York, N.Y.)",2018
30361341,"Science (New York, N.Y.)",2018
30337457,"Science (New York, N.Y.)",2018
30287662,"Science (New York, N.Y.)",2018
30262472,"Science (New York, N.Y.)",2018
30190408,"Science (New York, N.Y.)",2018
30166458,"Science (New York, N.Y.)",2018
30093597,"Science (New York, N.Y.)",2018
30049881,"Science (New York, N.Y.)",2018
30026228,"Science (New York, N.Y.)",2018
29798856,"Science (New York, N.Y.)",2018
29773669,"Science (New York, N.Y.)",2018
29622725,"Science (New York, N.Y.)",2018
29567714,"Science (New York, N.Y.)",2018
29567713,"Science (New York, N.Y.)",2018
29567708,"Science (New York, N.Y.)",2018
29567707,"Science (New York, N.Y.)",2018
29567705,"Science (New York, N.Y.)",2018
29420293,"Science (New York, N.Y.)",2018
29302014,"Science (New York, N.Y.)",2018
29301960,"Science (New York, N.Y.)",2018
29301958,"Science (New York, N.Y.)",2018
29217585,"Science (New York, N.Y.)",2018
29097494,"Science (New York, N.Y.)",2018
29097493,"Science (New York, N.Y.)",2018
